"#"	"Allottee"	"Area"	"AreaCode"	"AccessCode"	"RangeStart"	"RangeEnd"	"TotalLines"
50	"BillyRonks Global Limited"	"Lagos"	"0201"	"370"	"2013700000"	"2013709999"	10000
51	"BillyRonks Global Limited"	"Lagos"	"0201"	"371"	"2013710000"	"2013719999"	10000
52	"BillyRonks Global Limited"	"Lagos"	"0201"	"372"	"2013720000"	"2013729999"	10000
53	"BillyRonks Global Limited"	"Lagos"	"0201"	"373"	"2013730000"	"2013739999"	10000
54	"BillyRonks Global Limited"	"Lagos"	"0201"	"374"	"2013740000"	"2013749999"	10000
55	"BillyRonks Global Limited"	"Abuja"	"0209"	"370"	"2093700000"	"2093709999"	10000
56	"BillyRonks Global Limited"	"Abuja"	"0209"	"371"	"2093710000"	"2093719999"	10000
57	"BillyRonks Global Limited"	"Abuja"	"0209"	"372"	"2093720000"	"2093729999"	10000
58	"BillyRonks Global Limited"	"National"	"0700 shared"	"700"	"7001330000"	"7001339999"	10000
59	"BillyRonks Global Limited"	"National"	"0800 shared"	"800"	"8001330000"	"8001339999"	10000
60	"Brass-Wave Global Limited"	"Port Harcourt"	"02084"	"63"	"2084630000"	"2084639999"	10000
61	"Bricklinks Africa Plc"	"Abuja"	"0209"	"320"	"2093200000"	"2093209999"	10000
62	"Bricklinks Africa Plc"	"Lagos"	"0201"	"320"	"2013200000"	"2013209999"	10000
63	"Broadbased Communications Ltd"	"Lagos"	"0201"	"227"	"2012270000"	"2012279999"	10000
64	"Broadbased Communications Ltd"	"Lagos"	"0201"	"228"	"2012280000"	"2012289999"	10000
65	"BrowsePoint Telecom Nigeria Limited"	"Kano"	"02064"	"59"	"2064590000"	"2064599999"	10000
66	"BrowsePoint Telecom Nigeria Limited"	"Kano"	"02064"	"60"	"2064600000"	"2064609999"	10000
67	"BrowsePoint Telecom Nigeria Limited"	"Kano"	"02064"	"61"	"2064610000"	"2064619999"	10000
68	"BrowsePoint Telecom Nigeria Limited"	"Kano"	"02064"	"62"	"2064620000"	"2064629999"	10000
69	"CallMe Nigeria Limited"	"National"	"0700 shared"	"700"	"7008100000"	"7008199999"	100000
70	"CallMe Nigeria Limited"	"National"	"0800 shared"	"800"	"8008100000"	"8008199999"	100000
71	"Cedarview Communications Limited"	"National"	"0700 shared"	"700"	"7001235000"	"7001239999"	5000
72	"Cedarview Communications Limited"	"National"	"0700 shared"	"700"	"7000610000"	"7000619999"	10000
73	"Cedarview Communications Limited"	"National"	"0800 shared"	"800"	"8001235000"	"8001235999"	1000
74	"Cedarview Communications Limited"	"National"	"0800 shared"	"800"	"8000610000"	"8000619999"	10000
75	"Cyberspace Limited"	"Lagos"	"0201"	"515"	"2015150000"	"2015154999"	5000
76	"Cyberspace Limited"	"Lagos"	"0201"	"515"	"2015155000"	"2015159999"	5000
77	"Cyberspace Limited"	"Lagos"	"0201"	"516"	"2015160000"	"2015169999"	10000
78	"Cyberspace Limited"	"Abuja"	"0209"	"515"	"2095150000"	"2095154999"	5000
79	"EMTS Limited (9Mobile)"	"National"	"0809"	"809"	"8090000000"	"8099999999"	10000000
80	"EMTS Limited (9Mobile)"	"National"	"0817"	"817"	"8170000000"	"8179999999"	10000000
81	"EMTS Limited (9Mobile)"	"National"	"0818"	"818"	"8180000000"	"8189999999"	10000000
82	"EMTS Limited (9Mobile)"	"National"	"0908"	"908"	"9080000000"	"9089999999"	10000000
83	"EMTS Limited (9Mobile)"	"National"	"0909"	"909"	"9090000000"	"9099999999"	10000000
84	"EON Global Telecom Limited"	"Abuja"	"0209"	"380"	"2093800000"	"2093809999"	10000
85	"EON Global Telecom Limited"	"Abuja"	"0209"	"381"	"2093810000"	"2093819999"	10000
86	"EON Global Telecom Limited"	"Abuja"	"0209"	"382"	"2093820000"	"2093829999"	10000
87	"EON Global Telecom Limited"	"Abuja"	"0209"	"383"	"2093830000"	"2093839999"	10000
88	"EON Global Telecom Limited"	"Abuja"	"0209"	"384"	"2093840000"	"2093849999"	10000
89	"FNL Engineering Limited"	"Uyo"	"02085"	"90"	"2085900000"	"2085902999"	3000
90	"Friends Wireless Limited"	"Abuja"	"0209"	"205"	"2092050000"	"2092059999"	10000
91	"Friends Wireless Limited"	"Kaduna"	"02062"	"25"	"2062250000"	"2062259999"	10000
92	"Friends Wireless Limited"	"Kano"	"02064"	"25"	"2064250000"	"2064259999"	10000
93	"Glo Mobile"	"National"	"0705"	"705"	"7050000000"	"7059999999"	10000000
94	"Glo Mobile"	"National"	"0805"	"805"	"8050000000"	"8059999999"	10000000
95	"Glo Mobile"	"National"	"0807"	"807"	"8070000000"	"8079999999"	10000000
96	"Glo Mobile"	"National"	"0811"	"811"	"8110000000"	"8119999999"	10000000
97	"Glo Mobile"	"National"	"0815"	"815"	"8150000000"	"8159999999"	10000000
98	"Glo Mobile"	"National"	"0905"	"905"	"9050000000"	"9059999999"	10000000
99	"Glo Mobile"	"National"	"0915"	"915"	"9150000000"	"9159999999"	10000000
100	"Globacom Limited"	"Lagos"	"0201"	"903"	"2019030000"	"2019039999"	10000
101	"Globacom Limited"	"Lagos"	"0201"	"904"	"2019040000"	"2019049999"	10000
102	"Globacom Limited"	"Lagos"	"0201"	"905"	"2019050000"	"2019059999"	10000
103	"Globacom Limited"	"Lagos"	"0201"	"906"	"2019060000"	"2019069999"	10000
104	"Globacom Limited"	"Lagos"	"0201"	"907"	"2019070000"	"2019079999"	10000
105	"Globacom Limited"	"Lagos"	"0201"	"908"	"2019080000"	"2019089999"	10000
106	"Globacom Limited"	"Lagos"	"0201"	"909"	"2019090000"	"2019099999"	10000
107	"Globacom Limited"	"Lagos"	"0201"	"910"	"2019100000"	"2019109999"	10000
108	"Globacom Limited"	"Lagos"	"0201"	"911"	"2019110000"	"2019119999"	10000
109	"Globacom Limited"	"Lagos"	"0201"	"912"	"2019120000"	"2019129999"	10000
110	"Globacom Limited"	"Lagos"	"0201"	"913"	"2019130000"	"2019139999"	10000
111	"Globacom Limited"	"Lagos"	"0201"	"914"	"2019140000"	"2019149999"	10000
112	"Globacom Limited"	"Lagos"	"0201"	"915"	"2019150000"	"2019159999"	10000
113	"Globacom Limited"	"Ibadan"	"0202"	"903"	"2029030000"	"2029039999"	10000
114	"Globacom Limited"	"Ibadan"	"0202"	"904"	"2029040000"	"2029049999"	10000
115	"Globacom Limited"	"Ibadan"	"0202"	"905"	"2029050000"	"2029059999"	10000
116	"Globacom Limited"	"Abuja"	"0209"	"903"	"2099030000"	"2099039999"	10000
117	"Globacom Limited"	"Abuja"	"0209"	"904"	"2099040000"	"2099049999"	10000
118	"Globacom Limited"	"Ijebu-Ode"	"02037"	"93"	"2037930000"	"2037939999"	10000
119	"Globacom Limited"	"Ijebu-Ode"	"02037"	"94"	"2037940000"	"2037949999"	10000
120	"Globacom Limited"	"Ijebu-Ode"	"02037"	"95"	"2037950000"	"2037959999"	10000
121	"Globacom Limited"	"Abeokuta"	"02039"	"93"	"2039930000"	"2039939999"	10000
122	"Globacom Limited"	"Abeokuta"	"02039"	"94"	"2039940000"	"2039949999"	10000
123	"Globacom Limited"	"Benin"	"02052"	"93"	"2052930000"	"2052939999"	10000
124	"Globacom Limited"	"Benin"	"02052"	"94"	"2052940000"	"2052949999"	10000
125	"Globacom Limited"	"Benin"	"02052"	"95"	"2052950000"	"2052959999"	10000
126	"Globacom Limited"	"Benin"	"02052"	"96"	"2052960000"	"2052969999"	10000
127	"Globacom Limited"	"Warri"	"02053"	"93"	"2053930000"	"2053939999"	10000
128	"Globacom Limited"	"Warri"	"02053"	"94"	"2053940000"	"2053949999"	10000
129	"Globacom Limited"	"Asaba"	"02056"	"93"	"2056930000"	"2056939999"	10000
130	"Globacom Limited"	"Asaba"	"02056"	"94"	"2056940000"	"2056949999"	10000
131	"Globacom Limited"	"Kaduna"	"02062"	"93"	"2062930000"	"2062939999"	10000
132	"Globacom Limited"	"Kaduna"	"02062"	"94"	"2062940000"	"2062949999"	10000
133	"Globacom Limited"	"Kaduna"	"02062"	"95"	"2062950000"	"2062959999"	10000
134	"Globacom Limited"	"Kaduna"	"02062"	"96"	"2062960000"	"2062969999"	10000
